id,plate,price,area,year
1,X059CP797,65000,Moscow,2024
2,Y800MH790,100000,Moscow Oblast,2024
3,A212TX77,290000,Moscow,2024
4,P001AY199,680000,Moscow,2025
5,P001AY199,750000,Moscow,2025
6,B400BB750,50000,Moscow Oblast,2022
7,P666OM790,300000,Moscow Oblast,2024
8,C080KP777,300000,Moscow,2021
9,E737AY550,60000,Moscow Oblast,2024
10,C001KK750,420000,Moscow Oblast,2024
11,P227YC77,220000,Moscow,2024
12,A111HA777,900000,Moscow,2024
13,P745CX797,60000,Moscow,2025
14,Y100CP777,230000,Moscow,2025
15,T047EM797,30000,Moscow,2024
16,P991CC05,100000,Republic of Dagestan,2023
17,P141BY77,300000,Moscow,2022
18,X140YM38,50000,Irkutsk Oblast,2024
19,C400OP797,130000,Moscow,2024
20,Y999HM34,110000,Volgograd Oblast,2022
21,K063KK190,530000,Moscow Oblast,2023
22,K063KK190,450000,Moscow Oblast,2024
23,B764AA250,21999,Moscow Oblast,2025
24,K093OE797,70000,Moscow,2025
25,K555PA196,890000,Sverdlovsk Oblast,2024
26,H003MB97,300000,Moscow,2023
27,B878HA193,50000,Krasnodar Krai,2024
28,T888AX198,250000,Saint Petersburg,2024
29,T089CY797,30000,Moscow,2025
30,A077OE777,350000,Moscow,2022
31,O400CT750,40000,Moscow Oblast,2023
32,H300KP75,3000000,Zabaykalsky Krai,2024
33,M313MM99,3250000,Moscow,2024
34,M313MM99,3800000,Moscow,2025
35,E001MY197,350000,Moscow,2023
36,X971XX40,200000,Kaluga Oblast,2022
37,M281AX977,30000,Moscow,2025
38,K015OO797,80000,Moscow,2023
39,K015OO797,85000,Moscow,2024
40,H424BE790,100000,Moscow Oblast,2024
41,T654TT190,250000,Moscow Oblast,2024
42,A666MP43,6000000,Kirov Oblast,2024
43,O039AA77,600000,Moscow,2025
44,E742EE197,300000,Moscow,2025
45,K013AA799,140000,Moscow,2021
46,B211AE95,40000,Chechen Republic,2023
47,H045HK777,115000,Moscow,2025
48,B474CA790,100000,Moscow Oblast,2022
49,T083AA550,140000,Moscow Oblast,2024
50,C988CY89,150000,Yamalo-Nenets Autonomous Okrug,2024
51,C356KP750,150000,Moscow Oblast,2023
52,K008AB177,300000,Moscow,2023
53,M500KA77,3000000,Moscow,2024
54,X444KY750,280000,Moscow Oblast,2024
55,B777BC777,3250000,Moscow,2023
56,K111PO790,333000,Moscow Oblast,2023
57,K099XX799,130000,Moscow,2025
58,Y588EP790,49000,Moscow Oblast,2024
59,O078HE797,100000,Moscow,2025
60,T868PB797,80000,Moscow,2024
61,X663OC797,30000,Moscow,2025
62,T505KT39,100000,Kaliningrad Oblast,2024
